impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
75,"Pusa Thippasandra Main Road,  Nada Prabhu Kempegowda Circle",Jeevanbheemanagar,1.63,970.0,Moderate,1,05:00 - 10:00,NO,ROUTINE PATROL,970
76,"JJR Main Road,  JJR Nagar Circle",Magadi Road,1.61,958.0,Moderate,1,00:00 - 05:00,NO,MONITOR ONLY,958
77,"Hosur Road,  Singasandra Industrial Estate",Hulimavu,1.59,946.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,946
78,"O Shaughnessy Road,  Divyasree Chambers",Ashok Nagar,1.58,940.0,High,3,02:00 - 07:00,NO,ROUTINE PATROL,940
79,"80 Feet Road,  Block 2",Sadashivanagar,1.55,922.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,922
80,"2nd Main Road,  Prestige Technostar",Mahadevapura,1.54,916.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,916
81,"Unnamed Road,  Begur Chikkanahalli",Devanahalli Airport,1.53,910.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,910
82,"Old Airport Road,  Attimaramma Circle",Halasur,1.53,910.0,High,3,02:00 - 07:00,NO,MONITOR ONLY,910
83,"Hosur Road,  Krimson Square",HSR Layout,1.49,887.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,887
84,"Vibgyor High School Road,  Samhita Rainbow MTB Apartment",Whitefield,1.37,815.0,Critical,2,06:00 - 11:00,NO,MONITOR ONLY,815
85,"Lalbagh Main Road,  Dr Sri Shantaveera Swami Circle",City Market,1.33,791.0,High,3,01:00 - 06:00,NO,MONITOR ONLY,791
86,"1st Main Road,  Block 1R",Rajajinagar,1.33,791.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,791
87,"Jalahalli Cross Road,  Jalahalli Cross Junction",Peenya,1.32,785.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,785
88,"Avenue Road,  Mysore Bank Circle",Halasuru Gate,1.3,774.0,High,3,02:00 - 07:00,NO,MONITOR ONLY,774
89,"Hosur Road,  Global Tech Park",Mico Layout,1.26,750.0,Critical,3,00:00 - 05:00,NO,MONITOR ONLY,750
90,"Dr Rajkumar Punya Bhoomi Road,  Radiant Karel",Byatarayanapura,1.24,738.0,High,3,01:00 - 06:00,NO,MONITOR ONLY,738
91,"Old Madras Road,  Gopalan Signature Mall",Banaswadi,1.22,726.0,Moderate,1,12:00 - 17:00,NO,MONITOR ONLY,726
92,"Anna Basavanna Road,  RV Layout",Sheshadripuram,1.22,726.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,726
93,"Bellary Road,  HGH Layout",R.T. Nagar,1.18,702.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,702
94,"Outer Ring Road,  Iblur Junction",Bellandur,1.17,696.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,696
95,"Srinivagilu Main Road,  ST Bed Layout Extension",Adugodi,1.15,684.0,Moderate,1,01:00 - 06:00,NO,MONITOR ONLY,684
96,"1st Main Road,  Arepanahalli",Wilson Garden,1.12,666.0,High,3,02:00 - 07:00,NO,MONITOR ONLY,666
97,"Hosa Road,  Channakeshava Nagar",Electronic City,1.11,660.0,Moderate,1,10:00 - 15:00,NO,MONITOR ONLY,660
